teamName,playerName,tgName,steamLink,level,damageDealt_normal,roundsPlayed_normal,damageDealt_ranked,roundsPlayed_ranked,solo_rating,team_rating
HOMYAKI,stigmatesss,@stigmaates,https://steamcommunity.com/id/stigmaates/,2497,264.4237623585468,1679,208.2756532314107,1439,1452.5142275761104,2691.9463274236746
HOMYAKI,WSC_xD,@Volgov_SA,https://steamcommunity.com/profiles/76561198074214851/,2101,358.4757165242165,702,219.71463963963964,111,1654.362946804159,2691.9463274236746
HOMYAKI,N1ce0ne__,@Sokol_VL1,https://steamcommunity.com/profiles/76561198014763872,1698,251.1548646934461,473,196.1921043956044,546,1225.7344918325841,2691.9463274236746
HOMYAKI,R1nder_027,@Banek7,https://steamcommunity.com/profiles/76561199509162288,966,216.900966962306,451,166.13779704433497,203,947.3307997696265,2691.9463274236746
7331,nwrxyung_-,@nwrxyung,https://steamcommunity.com/id/quietxyung/,2500,640.5176182795699,372,391.0743806306306,444,2465.6118972464483,4371.288130947162
7331,Vanoss52,@godieenan,https://steamcommunity.com/id/Vanoss69/,2500,500.1364745930644,1413,391.2675722543352,173,2263.233769554516,4371.288130947162
7331,snapxwhy,@snapxwhy,https://steamcommunity.com/id/snapxwhy/,2500,544.2453600508906,786,427.1005944700461,434,2405.8753647671897,4371.288130947162
7331,J1hada,@j1hadaa,https://steamcommunity.com/id/j1hada/,1121,343.5694908341916,971,304.5655752508361,299,1455.4911643396204,4371.288130947162
Jidkie Banditi,117c-_,@jeeweequee,https://steamcommunity.com/id/jeeweequeee/,1702,336.5081495495496,111,259.1666172839506,2106,1489.1146778929394,3088.681670489395
Jidkie Banditi,17_i32oo,@bekcct,https://steamcommunity.com/profiles/76561198390873987,1808,412.6453572916666,96,305.4381604754829,673,1721.8294558705109,3088.681670489395
Jidkie Banditi,KJlybHi4KA,@kjlybnichka,https://steamcommunity.com/profiles/76561198326126899,2500,191.04618893740903,687,141.2380652463382,1502,1174.090289278497,3088.681670489395
Jidkie Banditi,F4ke_Taxi,@F4ke_Taxist,https://steamcommunity.com/profiles/76561198142566849,2500,375.48454559386977,261,264.36696495956875,742,1726.0669903626454,3088.681670489395
SNIP,Deqviz_Twitch,@honestDivi,https://steamcommunity.com/id/honest_divi/,286,198.52357992424243,660,178.49945283018866,53,749.884053540614,1783.4711646248782
SNIP,cstop246t345yt3,@qsoyaw,https://steamcommunity.com/profiles/76561199100835698/,146,175.007326984127,378,148.0613652173913,23,634.0153015061285,1783.4711646248782
SNIP,tyexer,@Bvj00,https://steamcommunity.com/profiles/76561199478140792/,726,175.588426679281,1057,119.19728369565216,184,748.9305889854576,1783.4711646248782
SNIP,DeadLifterr,@residentevilgamer,https://steamcommunity.com/id/resident-evil-lover001/,1068,302.6674940711462,759,288.834541509434,53,1286.6898894574033,1783.4711646248782
блек бакарди реборн,Ththth1020,Ththth1020,https://steamcommunity.com/profiles/76561199327744666/,124,163.95419225806447,465,0.0,0,589.28866789806,1477.7836577938565
блек бакарди реборн,Platochek46,@Platochek46,https://steamcommunity.com/profiles/76561198425651733,133,155.9993427419355,124,0.0,0,564.0217914587797,1477.7836577938565
блек бакарди реборн,SHOULD_YT-_-,@pasha_aa0_0,,230,265.96219137931035,58,0.0,0,962.3162078575806,1477.7836577938565
блек бакарди реборн,LOPRIK,@liorikk,https://steamcommunity.com/profiles/76561198241885692/,206,211.29843985507247,138,0.0,0,769.6819732745172,1477.7836577938565
VS Esports,Faddey1337,@Faddey1111,https://steamcommunity.com/profiles/76561199240625041/,1663,141.22974676056336,142,122.20267854251011,247,877.2305004770919,1790.536105606697
VS Esports,forator,@Forat0r,https://steamcommunity.com/profiles/76561199162584553,741,121.64240734513275,113,98.01760223463688,179,582.7490939538741,1790.536105606697
VS Esports,lesty1,@swatguy742,https://steamcommunity.com/profiles/76561199399352429,989,159.15704765957446,47,125.4967417624521,261,757.7251439871139,1790.536105606697
VS Esports,Noob4ik_Drug,@tafikss,https://steamcommunity.com/profiles/76561199150192541/,2256,254.49041326829263,205,164.70134773662554,972,1233.9944465756537,1790.536105606697
RNB,m00rtal,@akagmi,https://steamcommunity.com/profiles/76561199509538961/,58,160.51086865957447,141,0.0,0,562.8765475098272,1445.9622504845001
RNB,Agos1337,@ssss6s6s6,https://steamcommunity.com/id/wakucy1337/,74,250.18135426540283,211,0.0,0,873.6998724295415,1445.9622504845001
RNB,sloau,@mychlenloh1337,https://steamcommunity.com/profiles/76561199439676711/,90,247.16597421875,128,0.0,0,866.9092853991823,1445.9622504845001
RNB,ZakharOk_YKT,@Chotalenmne,https://s.team/p/pmr-qctt/FRRKDNBW,362,125.15091823529411,51,0.0,0,509.0124221420332,1445.9622504845001
GTNG ,Washington666,@cryptolakec,https://steamcommunity.com/id/Wash1ngton666/,822,184.2287734048897,1677,117.90362,30,811.0853936233049,1535.3326716997574
GTNG ,TheNasrudinov,@lldllffl,https://steamcommunity.com/profiles/76561199239217264/,744,173.43988004136506,967,174.87937234042553,47,766.2369037952233,1535.3326716997574
GTNG ,coplivich,@slon_667 ,https://steamcommunity.com/profiles/76561198815834066/,583,202.40362262156447,473,136.01419166666668,24,817.3112697089934,1535.3326716997574
GTNG ,who_ami11,@segodnya7,https://steamcommunity.com/profiles/76561198931482975,373,172.35262874493927,494,77.22900769230769,13,666.5359650526193,1535.3326716997574
ТеРебята Team,Riasen,@stotonov,https://steamcommunity.com/id/not_found_404_/,683,183.40989376770537,353,140.4859153846154,143,772.0148792985897,2099.733776570522
ТеРебята Team,AzazelGm,,https://steamcommunity.com/id/madraphus,1493,418.6732952755906,254,294.7777224669604,227,1684.0697369511186,2099.733776570522
ТеРебята Team,Miko_1004,,https://steamcommunity.com/id/d3R9,460,195.96587615384607,39,276.9643363636364,11,886.6413736993117,2099.733776570522
ТеРебята Team,Bochik_Potik,,https://steamcommunity.com/id/yogurtsi,84,121.99164151260504,119,0.0,0,436.6361805241053,2099.733776570522
MIVL,ohuoxxxay,@EfremowAE,https://steamcommunity.com/profiles/76561198800269175/,2272,410.365273655914,186,311.34833195020747,1205,1846.3852763109064,2813.085176793813
MIVL,sLYDAK1NG,@albert_efremov1,https://steamcommunity.com/profiles/76561198332323762/,1365,324.7228823529412,17,316.30413935340016,897,1652.5921649383545,2813.085176793813
MIVL,bankai-saha,@koraleksey,https://steamcommunity.com/profiles/76561198966796457/,1181,227.14705362416103,149,148.5215624309392,905,917.7668090819318,2813.085176793813
MIVL,Man4aaPbl,@Man4aapbl,https://steamcommunity.com/profiles/76561199242947855/,1110,225.1777481651376,109,164.56925,404,964.8589761469331,2813.085176793813
Dao4kaMun,Dao4ka,@daoo4ka,https://steamcommunity.com/id/Idinahyipliz/,102,146.32267317073172,328,0.0,0,523.9984898372052,2264.8288635055706
Dao4kaMun,mdayzh,@waste777,https://steamcommunity.com/profiles/76561199583055530,320,231.2553762057877,311,209.54496296296296,27,871.707039429227,2264.8288635055706
Dao4kaMun,TaunaMun,@TaunaMun,https://steamcommunity.com/id/qqvisk/,749,185.00581714406783,236,0.0,0,799.8049440159915,2264.8288635055706
Dao4kaMun,YA_K1TAEC,,https://steamcommunity.com/id/YaKitaes/,2293,421.3464330769231,130,311.7798374512354,769,1858.8475603323072,2264.8288635055706
BIGGERSSPIDERS,kotee228,@koteeserb,https://steamcommunity.com/profiles/76561199411889976/,861,282.8358804780877,251,101.77379333333332,15,1129.7723949460183,1697.0898022453418
BIGGERSSPIDERS,LowParadox,@brrya1,https://steamcommunity.com/id/fuck_all_123,617,188.220476754386,228,0.0,0,781.5956420793185,1697.0898022453418
BIGGERSSPIDERS,UEBANISCHE,@Sinner_ink,https://steamcommunity.com/id/Barnaul20111,68,136.9650342857143,70,0.0,0,484.40422592378087,1697.0898022453418
BIGGERSSPIDERS,L0m4kin,@Lom4ik2,https://steamcommunity.com/profiles/76561198351508029,83,248.73625,116,0.0,0,870.7404496707803,1697.0898022453418
Fantastic Fo,ALLURE0021,@airatallure,Airatallure0021,1542,261.85423165399243,1052,0.0,0,1238.720191646606,2382.537868726064
Fantastic Fo,RQstam,@rustansabr,YJIbIM,1629,211.59734467532468,385,0.0,0,1085.7630644515245,2382.537868726064
Fantastic Fo,WoodooMan,Woodoo001,makcat805,908,198.69569585454548,275,0.0,0,881.9202383079075,2382.537868726064
Fantastic Fo,Gillimiligan,Gillimiligan,vernipetihat,2500,269.9369591018998,1737,205.0362875,8,1478.3078988683278,2382.537868726064
Plus Vibe,ambient--,@aambientt,https://steamcommunity.com/id/bestcyberguyever/,2261,571.5164758620689,203,443.14344642857145,560,2414.8200771197157,3892.7784742920558
Plus Vibe,AidzZen,@urgnwakeup,https://steamcommunity.com/profiles/76561199025047037/,2500,314.017056445993,861,288.74642021276594,1880,1739.8444573995876,3892.7784742920558
Plus Vibe,SaF1k_Kz-_-,@Safik_kz,https://steamcommunity.com/profiles/76561199018651416/,2500,412.7344891304348,276,374.0616149562451,2514,2137.1996352049828,3892.7784742920558
Plus Vibe,Am1stin,@matvey_sosov,https://steamcommunity.com/profiles/76561198807986833,2176,238.35482043343657,969,199.02398835705048,773,1314.4151659147644,3892.7784742920558
ORGANIZERS,ArtLaw,@Art_law0,https://steamcommunity.com/id/665844581297/,414,245.529811820331,423,185.90959782608687,92,924.991633369426,1400.4418822554098
ORGANIZERS,Kiyot7ka,,https://steamcommunity.com/id/AXAXAXAAXAXAXAAXXAXAXAXAXA,225,190.185329734066,455,156.61003061224488,98,704.9255988821141,1400.4418822554098
ORGANIZERS,Amlaith,@Zavaruev_Ivan,https://steamcommunity.com/profiles/76561198190291935,832,156.361702955665,406,109.16678260869568,184,698.7540036488272,1400.4418822554098
ORGANIZERS,RoninKraken1703,@mishaelforward1,https://steamcommunity.com/id/landes_goose,101,96.86932120253164,316,51.48685454545455,22,347.0600613684388,1400.4418822554098
4TipaProSqd,1Punani1,@RailShv,https://steamcommunity.com/id/KoT3_B_3D/,1145,245.5194400735294,816,0.0,0,1094.8473962220025,1911.8057577436111
4TipaProSqd,Al__Pacino0,@Robert_Taronishvili,https://steamcommunity.com/profiles/76561198248863942/,653,192.13519034246573,730,0.0,0,802.9810142463917,1911.8057577436111
4TipaProSqd,VADNEADEKVAD,@Jon_Skywolker,https://steamcommunity.com/profiles/76561198158880447/,731,193.47925328440363,545,0.0,0,824.8562726784569,1911.8057577436111
4TipaProSqd,S_NEBA_PRIVET,@aspectik,https://steamcommunity.com/profiles/76561198029596158/,1204,232.0420076601672,1436,188.84336818181816,220,1063.5525631158825,1911.8057577436111
ARND,naleitechai,mbntvm,https://steamcommunity.com/profiles/76561198208673340/,88,66.51442835051546,194,0.0,0,247.41368398511088,1275.6173752338143
ARND,amplumnox,@amplumnox,https://steamcommunity.com/profiles/76561198034685133/,321,194.30792126696835,221,0.0,0,736.9206056970119,1275.6173752338143
ARND,ReBruM, @ReBruM1,https://steamcommunity.com/id/ReBruMoff/,136,226.14616951219512,123,0.0,0,805.0636240726883,1275.6173752338143
ARND,yngyanni,@dnq555,https://steamcommunity.com/profiles/76561198153832378/,111,171.48435339805826,103,0.0,0,612.2146184708594,1275.6173752338143
уклонисты,tokyotears,@jerrynopozer,https://steamcommunity.com/profiles/76561199194027491/,983,224.98937677029363,1158,145.30231926605504,218,965.0869209395173,2338.643562993513
уклонисты,Ex_He_3a6aHuJlo,@nzdev01,https://steamcommunity.com/id/nzdev01/,432,244.8834446022728,704,178.02677314285714,175,919.5594916371863,2338.643562993513
уклонисты,Takumiha,https://t.me/Takumiha,https://steamcommunity.com/id/nzdev01/,190,151.12494641744547,321,109.43532285714286,35,555.110222728907,2338.643562993513
уклонисты,Papito7711,@paaapiiitooo,https://steamcommunity.com/id/lebronjames_papipapi/,2500,345.8278160511364,704,328.96833391003463,578,1839.5988507618445,2338.643562993513
KAT-KIT,SHAGGYQ,@shaggyq666,https://steamcommunity.com/id/SHAGGYQ/,2439,312.6314462365592,558,239.06721106557376,488,1589.2628351099522,3411.3974598797276
KAT-KIT,xdteam,@xdtilt,https://steamcommunity.com/id/xdteam0_0,2108,446.6841157221206,547,338.689054964539,564,1956.8329670146015,3411.3974598797276
KAT-KIT,Ozersayd,@@DSLLLLLLLL,https://steamcommunity.com/profiles/76561198860159639/,2500,339.53370193798446,258,246.0445763888889,576,1641.3326635215058,3411.3974598797276
KAT-KIT,0uki,@Ouk1i,https://steamcommunity.com/profiles/76561198439643639/,2161,298.2292962121212,264,275.8856475849732,559,1608.946269169473,3411.3974598797276
Vorpal Swords ,yxkrem,https://t.me/yokarem,https://steamcommunity.com/id/yokarem/,2228,320.8437691616766,334,298.9419156327544,806,1720.751784985304,4056.773841381236
Vorpal Swords ,oneeyedkingq,@oneeyedkinq,https://steamcommunity.com/id/sadagfsdadfgfadsgfadfsg/,1947,514.0424057996486,569,355.50834005037785,397,2094.4825869678252,4056.773841381236
Vorpal Swords ,justchillingay,@xreyzer,https://steamcommunity.com/id/ryzer123vUall/,2374,382.1939463276837,177,362.5230219072165,776,2033.3062161357002,4056.773841381236
Vorpal Swords ,Zub1la,@Zub1la,https://steamcommunity.com/profiles/76561198342549356/,2500,376.4185682352941,85,399.71538888888887,936,2230.5236647248207,4056.773841381236
KABACHKI,tchaikosvky_ttv,@nupoprobuii,https://steamcommunity.com/profiles/76561198831427942/,548,232.5561432748538,342,163.36709000000002,5,916.8476082954769,1503.4687477035231
